ì˙ït,åé,âŒ,êÖ,ñÿ,ã‡,ìy,ì˙,èjì˙,èjì˙ÇÃñºëO,ãxì˙,îNññîNén
20190131,0,0,0,1,0,0,0,0,0,0,0
20190130,0,0,1,0,0,0,0,0,0,0,0
20190129,0,1,0,0,0,0,0,0,0,0,0
20190128,1,0,0,0,0,0,0,0,0,0,0
20190127,0,0,0,0,0,0,1,0,0,1,0
20190126,0,0,0,0,0,1,0,0,0,1,0
20190125,0,0,0,0,1,0,0,0,0,0,0
20190124,0,0,0,1,0,0,0,0,0,0,0
20190123,0,0,1,0,0,0,0,0,0,0,0
20190122,0,1,0,0,0,0,0,0,0,0,0
20190121,1,0,0,0,0,0,0,0,0,0,0
20190120,0,0,0,0,0,0,1,0,0,1,0
20190119,0,0,0,0,0,1,0,0,0,1,0
20190118,0,0,0,0,1,0,0,0,0,0,0
20190117,0,0,0,1,0,0,0,0,0,0,0
20190116,0,0,1,0,0,0,0,0,0,0,0
20190115,0,1,0,0,0,0,0,0,0,0,0
20190114,1,0,0,0,0,0,0,1,ê¨êlÇÃì˙,1,0
20190113,0,0,0,0,0,0,1,0,0,1,0
20190112,0,0,0,0,0,1,0,0,0,1,0
20190111,0,0,0,0,1,0,0,0,0,0,0
20190110,0,0,0,1,0,0,0,0,0,0,0
20190109,0,0,1,0,0,0,0,0,0,0,0
20190108,0,1,0,0,0,0,0,0,0,0,0
20190107,1,0,0,0,0,0,0,0,0,0,0
20190106,0,0,0,0,0,0,1,0,0,1,0
20190105,0,0,0,0,0,1,0,0,0,1,0
20190104,0,0,0,0,1,0,0,0,0,0,0
20190103,0,0,0,1,0,0,0,0,0,1,1
20190102,0,0,1,0,0,0,0,0,0,1,1
20190101,0,1,0,0,0,0,0,1,å≥ì˙,1,1
20181231,1,0,0,0,0,0,0,0,0,1,1
20181230,0,0,0,0,0,0,1,0,0,1,0
20181229,0,0,0,0,0,1,0,0,0,1,0
20181228,0,0,0,0,1,0,0,0,0,0,0
20181227,0,0,0,1,0,0,0,0,0,0,0
20181226,0,0,1,0,0,0,0,0,0,0,0
20181225,0,1,0,0,0,0,0,0,0,0,0
20181224,1,0,0,0,0,0,0,1,êUë÷ãxì˙,1,0
20181223,0,0,0,0,0,0,1,1,ìVçcíaê∂ì˙,1,0
20181222,0,0,0,0,0,1,0,0,0,1,0
20181221,0,0,0,0,1,0,0,0,0,0,0
20181220,0,0,0,1,0,0,0,0,0,0,0
20181219,0,0,1,0,0,0,0,0,0,0,0
20181218,0,1,0,0,0,0,0,0,0,0,0
20181217,1,0,0,0,0,0,0,0,0,0,0
20181216,0,0,0,0,0,0,1,0,0,1,0
20181215,0,0,0,0,0,1,0,0,0,1,0
20181214,0,0,0,0,1,0,0,0,0,0,0
20181213,0,0,0,1,0,0,0,0,0,0,0
20181212,0,0,1,0,0,0,0,0,0,0,0
20181211,0,1,0,0,0,0,0,0,0,0,0
20181210,1,0,0,0,0,0,0,0,0,0,0
20181209,0,0,0,0,0,0,1,0,0,1,0
20181208,0,0,0,0,0,1,0,0,0,1,0
20181207,0,0,0,0,1,0,0,0,0,0,0
20181206,0,0,0,1,0,0,0,0,0,0,0
20181205,0,0,1,0,0,0,0,0,0,0,0
20181204,0,1,0,0,0,0,0,0,0,0,0
20181203,1,0,0,0,0,0,0,0,0,0,0
20181202,0,0,0,0,0,0,1,0,0,1,0
20181201,0,0,0,0,0,1,0,0,0,1,0
20181130,0,0,0,0,1,0,0,0,0,0,0
20181129,0,0,0,1,0,0,0,0,0,0,0
20181128,0,0,1,0,0,0,0,0,0,0,0
20181127,0,1,0,0,0,0,0,0,0,0,0
20181126,1,0,0,0,0,0,0,0,0,0,0
20181125,0,0,0,0,0,0,1,0,0,1,0
20181124,0,0,0,0,0,1,0,0,0,1,0
